0 birthday;anonymized feature 6, 1/20/2002
1 education;concentration;id;anonymized feature 14, computer science
2 education;degree;id;anonymized feature 22, bachelor's degree
3 education;school;id;anonymized feature 50, Harvard University
4 education;school;id;anonymized feature 52, Stanford University
5 education;type;anonymized feature 53, Public
6 education;type;anonymized feature 54, Private
7 education;type;anonymized feature 55, Online
8 education;year;id;anonymized feature 542, 2015
9 education;year;id;anonymized feature 57, 2014
10 education;year;id;anonymized feature 253, 2015
11 education;year;id;anonymized feature 1270, 2012
12 education;year;id;anonymized feature 1271, 2015
13 education;year;id;anonymized feature 254, 2010
14 education;year;id;anonymized feature 62, 2015
15 education;year;id;anonymized feature 1272, 2008
16 education;year;id;anonymized feature 1273, 2007
17 education;year;id;anonymized feature 1274, 2001
18 education;year;id;anonymized feature 257, 2015
19 gender;anonymized feature 77, Male
20 gender;anonymized feature 78, Female
21 hometown;id;anonymized feature 1275, San Francisco
22 languages;id;anonymized feature 90, English
23 languages;id;anonymized feature 92, Spanish
24 last_name;anonymized feature 1276, Anderson
25 last_name;anonymized feature 1277, Smith
26 locale;anonymized feature 125, Central Park
27 locale;anonymized feature 127, 5th Market Street
28 location;id;anonymized feature 128, United State of America
29 location;id;anonymized feature 138, Canada
30 political;anonymized feature 1278, Democrat
31 work;employer;id;anonymized feature 140, Mcdonald's
32 work;employer;id;anonymized feature 1279, Burger King
33 work;employer;id;anonymized feature 1280, H&M
34 work;employer;id;anonymized feature 52, Burger King
35 work;employer;id;anonymized feature 154, In and Out
36 work;employer;id;anonymized feature 156, Burger King
37 work;end_date;anonymized feature 157, 1/30/2015
38 work;start_date;anonymized feature 157, 1/1/2015
39 work;start_date;anonymized feature 1281, 2/1/2016
40 work;start_date;anonymized feature 718, 3/1/2017
41 work;start_date;anonymized feature 1282, 1/30/2015
